"species","area","year","month","landings"
"Swordfish","San Francisco","2013-2014","Dec",48628
"Swordfish","San Francisco","2013-2014","Dec",0
"Swordfish","San Francisco","2014-2015","Dec",96052
"Swordfish","San Francisco","2014-2015","Dec",0
"Swordfish","San Francisco","2015-2016","Dec",0
"Swordfish","San Francisco","2015-2016","Dec",733
"Swordfish","San Francisco","2016-2017","Dec",18879
"Swordfish","San Francisco","2016-2017","Dec",42286
"Swordfish","San Francisco","2017-2018","Dec",0
"Swordfish","San Francisco","2017-2018","Dec",54786
"Swordfish","San Francisco","2017-2018","Dec",0
"Swordfish","San Francisco","2018-2019","Dec",0
"Swordfish","San Francisco","2018-2019","Dec",0
"Swordfish","Monterey","2000-2001","Dec",0
"Swordfish","Monterey","2001-2002","Dec",0
"Swordfish","Monterey","2002-2003","Dec",0
"Swordfish","Monterey","2003-2004","Dec",277
"Swordfish","Monterey","2004-2005","Dec",0
"Swordfish","Monterey","2005-2006","Dec",13611
"Swordfish","Monterey","2006-2007","Dec",2996
"Swordfish","Monterey","2007-2008","Dec",0
"Swordfish","Monterey","2008-2009","Dec",10043
"Swordfish","Monterey","2008-2009","Dec",0
"Swordfish","Monterey","2009-2010","Dec",918
"Swordfish","Monterey","2010-2011","Dec",0
"Swordfish","Monterey","2012-2013","Dec",0
"Swordfish","Monterey","2013-2014","Dec",0
"Swordfish","Monterey","2014-2015","Dec",0
"Swordfish","Morro Bay","2000-2001","Dec",9287
"Swordfish","Morro Bay","2000-2001","Dec",0
"Swordfish","Morro Bay","2001-2002","Dec",5328
"Swordfish","Morro Bay","2002-2003","Dec",9900
"Swordfish","Morro Bay","2003-2004","Dec",16698
"Swordfish","Morro Bay","2004-2005","Dec",14019
"Swordfish","Morro Bay","2005-2006","Dec",3359
"Swordfish","Morro Bay","2006-2007","Dec",12726
"Swordfish","Morro Bay","2007-2008","Dec",0
"Swordfish","Morro Bay","2008-2009","Dec",5432
"Swordfish","Morro Bay","2009-2010","Dec",0
"Swordfish","Morro Bay","2010-2011","Dec",0
"Swordfish","Morro Bay","2011-2012","Dec",20178
"Swordfish","Morro Bay","2012-2013","Dec",12615
"Swordfish","Morro Bay","2013-2014","Dec",5049
"Swordfish","Morro Bay","2014-2015","Dec",7306
"Swordfish","Morro Bay","2015-2016","Dec",543
"Swordfish","Morro Bay","2016-2017","Dec",4528
"Swordfish","Morro Bay","2017-2018","Dec",26500
"Swordfish","Morro Bay","2018-2019","Dec",21984
"Swordfish","Santa Barbara","2000-2001","Dec",441
"Swordfish","Santa Barbara","2000-2001","Dec",8108
"Swordfish","Santa Barbara","2001-2002","Dec",0
"Swordfish","Santa Barbara","2001-2002","Dec",0
"Swordfish","Santa Barbara","2002-2003","Dec",15047
"Swordfish","Santa Barbara","2002-2003","Dec",0
"Swordfish","Santa Barbara","2003-2004","Dec",4823
"Swordfish","Santa Barbara","2003-2004","Dec",13344
"Swordfish","Santa Barbara","2004-2005","Dec",3238
"Swordfish","Santa Barbara","2004-2005","Dec",0
"Swordfish","Santa Barbara","2005-2006","Dec",2984
"Swordfish","Santa Barbara","2005-2006","Dec",0
"Swordfish","Santa Barbara","2006-2007","Dec",8969
"Swordfish","Santa Barbara","2006-2007","Dec",0
"Swordfish","Santa Barbara","2006-2007","Dec",0
"Swordfish","Santa Barbara","2007-2008","Dec",27149
"Swordfish","Santa Barbara","2007-2008","Dec",175
"Swordfish","Santa Barbara","2008-2009","Dec",7985
"Swordfish","Santa Barbara","2008-2009","Dec",0
"Swordfish","Santa Barbara","2009-2010","Dec",3770
"Swordfish","Santa Barbara","2009-2010","Dec",714
"Swordfish","Santa Barbara","2010-2011","Dec",2307
"Swordfish","Santa Barbara","2010-2011","Dec",402
"Swordfish","Santa Barbara","2010-2011","Dec",0
"Swordfish","Santa Barbara","2011-2012","Dec",8763
"Swordfish","Santa Barbara","2011-2012","Dec",784
"Swordfish","Santa Barbara","2012-2013","Dec",1874
"Swordfish","Santa Barbara","2012-2013","Dec",1032
"Swordfish","Santa Barbara","2013-2014","Dec",1374
"Swordfish","Santa Barbara","2013-2014","Dec",0
"Swordfish","Santa Barbara","2014-2015","Dec",1431
"Swordfish","Santa Barbara","2014-2015","Dec",0
"Swordfish","Santa Barbara","2015-2016","Dec",31340
"Swordfish","Santa Barbara","2015-2016","Dec",0
"Swordfish","Santa Barbara","2016-2017","Dec",24029
"Swordfish","Santa Barbara","2016-2017","Dec",470
"Swordfish","Santa Barbara","2017-2018","Dec",41499
"Swordfish","Santa Barbara","2017-2018","Dec",0
"Swordfish","Santa Barbara","2018-2019","Dec",8326
"Swordfish","Los Angeles","2000-2001","Dec",43484
"Swordfish","Los Angeles","2000-2001","Dec",805848
"Swordfish","Los Angeles","2000-2001","Dec",0
"Swordfish","Los Angeles","2001-2002","Dec",8097
"Swordfish","Los Angeles","2001-2002","Dec",353385
"Swordfish","Los Angeles","2001-2002","Dec",0
"Swordfish","Los Angeles","2002-2003","Dec",15155
"Swordfish","Los Angeles","2002-2003","Dec",177460
"Swordfish","Los Angeles","2003-2004","Dec",9372
"Swordfish","Los Angeles","2003-2004","Dec",334163
"Swordfish","Los Angeles","2004-2005","Dec",8185
"Swordfish","Los Angeles","2004-2005","Dec",2581
"Swordfish","Los Angeles","2005-2006","Dec",16862
"Swordfish","Los Angeles","2006-2007","Dec",51405
"Swordfish","Los Angeles","2006-2007","Dec",0
"Swordfish","Los Angeles","2007-2008","Dec",15117
"Swordfish","Los Angeles","2008-2009","Dec",41377
"Swordfish","Los Angeles","2008-2009","Dec",72719
"Swordfish","Los Angeles","2009-2010","Dec",15729
"Swordfish","Los Angeles","2009-2010","Dec",0
"Swordfish","Los Angeles","2010-2011","Dec",5992
"Swordfish","Los Angeles","2011-2012","Dec",0
"Swordfish","Los Angeles","2011-2012","Dec",0
"Swordfish","Los Angeles","2012-2013","Dec",0
"Swordfish","Los Angeles","2012-2013","Dec",22696
"Swordfish","Los Angeles","2013-2014","Dec",4871
"Swordfish","Los Angeles","2013-2014","Dec",35509
"Swordfish","Los Angeles","2014-2015","Dec",1046
"Swordfish","Los Angeles","2014-2015","Dec",7442
"Swordfish","Los Angeles","2015-2016","Dec",10304
"Swordfish","Los Angeles","2015-2016","Dec",12502
"Swordfish","Los Angeles","2016-2017","Dec",27183
"Swordfish","Los Angeles","2016-2017","Dec",35475
"Swordfish","Los Angeles","2017-2018","Dec",8339
"Swordfish","Los Angeles","2017-2018","Dec",111028
"Swordfish","Los Angeles","2018-2019","Dec",10015
"Swordfish","Los Angeles","2018-2019","Dec",0
"Swordfish","Los Angeles","2018-2019","Dec",0
"Swordfish","San Diego","2000-2001","Dec",81914
"Swordfish","San Diego","2000-2001","Dec",0
"Swordfish","San Diego","2000-2001","Dec",0
"Swordfish","San Diego","2001-2002","Dec",34048
"Swordfish","San Diego","2001-2002","Dec",0
"Swordfish","San Diego","2001-2002","Dec",0
"Swordfish","San Diego","2002-2003","Dec",79095
"Swordfish","San Diego","2003-2004","Dec",56807
"Swordfish","San Diego","2003-2004","Dec",0
"Swordfish","San Diego","2004-2005","Dec",90144
"Swordfish","San Diego","2005-2006","Dec",97291
"Swordfish","San Diego","2005-2006","Dec",0
"Swordfish","San Diego","2006-2007","Dec",178086
"Swordfish","San Diego","2007-2008","Dec",121100
"Swordfish","San Diego","2008-2009","Dec",116776
"Swordfish","San Diego","2008-2009","Dec",0
"Swordfish","San Diego","2009-2010","Dec",165274
"Swordfish","San Diego","2010-2011","Dec",6337
"Swordfish","San Diego","2011-2012","Dec",27354
"Swordfish","San Diego","2011-2012","Dec",0
"Swordfish","San Diego","2012-2013","Dec",25812
"Swordfish","San Diego","2013-2014","Dec",43645
"Swordfish","San Diego","2014-2015","Dec",6280
"Swordfish","San Diego","2014-2015","Dec",0
"Swordfish","San Diego","2015-2016","Dec",24967
"Swordfish","San Diego","2015-2016","Dec",52
"Swordfish","San Diego","2016-2017","Dec",58122
"Swordfish","San Diego","2016-2017","Dec",14107
"Swordfish","San Diego","2017-2018","Dec",48568
"Swordfish","San Diego","2017-2018","Dec",162
"Swordfish","San Diego","2018-2019","Dec",33542
"Swordfish","San Diego","2018-2019","Dec",405
"Opah","Eureka","2000-2001","Dec",0
"Opah","Fort Bragg","2000-2001","Dec",0
"Opah","Fort Bragg","2002-2003","Dec",0
"Opah","Fort Bragg","2003-2004","Dec",0
"Opah","Fort Bragg","2005-2006","Dec",0
"Opah","Fort Bragg","2007-2008","Dec",0
"Opah","Fort Bragg","2013-2014","Dec",0
"Opah","Fort Bragg","2015-2016","Dec",32
"Opah","Fort Bragg","2015-2016","Dec",0
"Opah","Fort Bragg","2017-2018","Dec",0
"Opah","Bodega Bay","2005-2006","Dec",0
"Opah","San Francisco","2000-2001","Dec",0
"Opah","San Francisco","2001-2002","Dec",0
"Opah","San Francisco","2002-2003","Dec",0
"Opah","San Francisco","2003-2004","Dec",0
"Opah","San Francisco","2005-2006","Dec",0
"Opah","San Francisco","2006-2007","Dec",0
"Opah","San Francisco","2008-2009","Dec",0
"Opah","San Francisco","2009-2010","Dec",0
"Opah","San Francisco","2010-2011","Dec",705
"Opah","San Francisco","2011-2012","Dec",0
"Opah","San Francisco","2011-2012","Dec",0
"Opah","San Francisco","2012-2013","Dec",0
"Opah","San Francisco","2012-2013","Dec",4412
"Opah","San Francisco","2013-2014","Dec",412
"Opah","San Francisco","2013-2014","Dec",0
"Opah","San Francisco","2014-2015","Dec",8113
"Opah","San Francisco","2014-2015","Dec",0
"Opah","San Francisco","2015-2016","Dec",0
"Opah","San Francisco","2015-2016","Dec",80150
"Opah","San Francisco","2016-2017","Dec",373
"Opah","San Francisco","2016-2017","Dec",2148
"Opah","San Francisco","2017-2018","Dec",0
"Opah","San Francisco","2017-2018","Dec",1228
"Opah","San Francisco","2017-2018","Dec",0
"Opah","San Francisco","2018-2019","Dec",0
"Opah","San Francisco","2018-2019","Dec",0
"Opah","San Francisco","2018-2019","Dec",0
"Opah","Monterey","2000-2001","Dec",0
"Opah","Monterey","2001-2002","Dec",0
"Opah","Monterey","2002-2003","Dec",0
"Opah","Monterey","2003-2004","Dec",0
"Opah","Monterey","2004-2005","Dec",0
"Opah","Monterey","2005-2006","Dec",802
"Opah","Monterey","2006-2007","Dec",0
"Opah","Monterey","2007-2008","Dec",0
"Opah","Monterey","2008-2009","Dec",455
"Opah","Monterey","2008-2009","Dec",0
"Opah","Monterey","2009-2010","Dec",216
"Opah","Monterey","2010-2011","Dec",0
"Opah","Monterey","2012-2013","Dec",0
"Opah","Monterey","2014-2015","Dec",0
"Opah","Monterey","2015-2016","Dec",0
"Opah","Monterey","2017-2018","Dec",0
"Opah","Morro Bay","2000-2001","Dec",345
"Opah","Morro Bay","2001-2002","Dec",0
"Opah","Morro Bay","2002-2003","Dec",537
"Opah","Morro Bay","2003-2004","Dec",579
"Opah","Morro Bay","2004-2005","Dec",134
"Opah","Morro Bay","2005-2006","Dec",0
"Opah","Morro Bay","2006-2007","Dec",251
"Opah","Morro Bay","2007-2008","Dec",0
"Opah","Morro Bay","2008-2009","Dec",2608
"Opah","Morro Bay","2009-2010","Dec",0
"Opah","Morro Bay","2010-2011","Dec",0
"Opah","Morro Bay","2011-2012","Dec",798
"Opah","Morro Bay","2012-2013","Dec",70
"Opah","Morro Bay","2013-2014","Dec",85
"Opah","Morro Bay","2014-2015","Dec",1176
"Opah","Morro Bay","2015-2016","Dec",53
"Opah","Morro Bay","2016-2017","Dec",781
"Opah","Morro Bay","2017-2018","Dec",203
"Opah","Morro Bay","2018-2019","Dec",3130
"Opah","Santa Barbara","2000-2001","Dec",76
"Opah","Santa Barbara","2001-2002","Dec",0
"Opah","Santa Barbara","2001-2002","Dec",0
"Opah","Santa Barbara","2002-2003","Dec",369
"Opah","Santa Barbara","2002-2003","Dec",0
"Opah","Santa Barbara","2003-2004","Dec",561
"Opah","Santa Barbara","2003-2004","Dec",1393
"Opah","Santa Barbara","2004-2005","Dec",370
"Opah","Santa Barbara","2004-2005","Dec",0
"Opah","Santa Barbara","2005-2006","Dec",328
"Opah","Santa Barbara","2005-2006","Dec",0
"Opah","Santa Barbara","2006-2007","Dec",145
"Opah","Santa Barbara","2006-2007","Dec",0
"Opah","Santa Barbara","2006-2007","Dec",0
"Opah","Santa Barbara","2007-2008","Dec",706
"Opah","Santa Barbara","2007-2008","Dec",0
"Opah","Santa Barbara","2007-2008","Dec",8641
"Opah","Santa Barbara","2008-2009","Dec",557
"Opah","Santa Barbara","2008-2009","Dec",0
"Opah","Santa Barbara","2008-2009","Dec",0
"Opah","Santa Barbara","2009-2010","Dec",1084
"Opah","Santa Barbara","2009-2010","Dec",3212
"Opah","Santa Barbara","2010-2011","Dec",257
"Opah","Santa Barbara","2010-2011","Dec",3757
"Opah","Santa Barbara","2010-2011","Dec",0
"Opah","Santa Barbara","2011-2012","Dec",2704
"Opah","Santa Barbara","2011-2012","Dec",8985
"Opah","Santa Barbara","2012-2013","Dec",369
"Opah","Santa Barbara","2012-2013","Dec",7738
"Opah","Santa Barbara","2013-2014","Dec",471
"Opah","Santa Barbara","2013-2014","Dec",0
"Opah","Santa Barbara","2014-2015","Dec",828
"Opah","Santa Barbara","2014-2015","Dec",0
"Opah","Santa Barbara","2015-2016","Dec",7292
"Opah","Santa Barbara","2015-2016","Dec",0
"Opah","Santa Barbara","2016-2017","Dec",874
"Opah","Santa Barbara","2016-2017","Dec",10525
"Opah","Santa Barbara","2017-2018","Dec",3501
"Opah","Santa Barbara","2017-2018","Dec",0
"Opah","Santa Barbara","2018-2019","Dec",2227
"Opah","Los Angeles","2000-2001","Dec",3553
"Opah","Los Angeles","2000-2001","Dec",159
"Opah","Los Angeles","2001-2002","Dec",222
"Opah","Los Angeles","2001-2002","Dec",0
"Opah","Los Angeles","2002-2003","Dec",4590
"Opah","Los Angeles","2003-2004","Dec",2491
"Opah","Los Angeles","2003-2004","Dec",0
"Opah","Los Angeles","2004-2005","Dec",1933
"Opah","Los Angeles","2004-2005","Dec",229
"Opah","Los Angeles","2005-2006","Dec",937
"Opah","Los Angeles","2006-2007","Dec",4401
"Opah","Los Angeles","2007-2008","Dec",1476
"Opah","Los Angeles","2008-2009","Dec",4803
"Opah","Los Angeles","2008-2009","Dec",431
"Opah","Los Angeles","2009-2010","Dec",2160
"Opah","Los Angeles","2010-2011","Dec",3244
"Opah","Los Angeles","2011-2012","Dec",0
"Opah","Los Angeles","2012-2013","Dec",3368
"Opah","Los Angeles","2013-2014","Dec",507
"Opah","Los Angeles","2013-2014","Dec",0
"Opah","Los Angeles","2014-2015","Dec",0
"Opah","Los Angeles","2014-2015","Dec",996
"Opah","Los Angeles","2015-2016","Dec",733
"Opah","Los Angeles","2015-2016","Dec",19006
"Opah","Los Angeles","2016-2017","Dec",312
"Opah","Los Angeles","2016-2017","Dec",22740
"Opah","Los Angeles","2017-2018","Dec",136
"Opah","Los Angeles","2017-2018","Dec",12358
"Opah","Los Angeles","2018-2019","Dec",956
"Opah","Los Angeles","2018-2019","Dec",8276
"Opah","Los Angeles","2018-2019","Dec",0
"Opah","San Diego","2000-2001","Dec",24617
"Opah","San Diego","2000-2001","Dec",0
"Opah","San Diego","2000-2001","Dec",0
"Opah","San Diego","2001-2002","Dec",22322
"Opah","San Diego","2002-2003","Dec",8377
"Opah","San Diego","2003-2004","Dec",13338
"Opah","San Diego","2003-2004","Dec",0
"Opah","San Diego","2004-2005","Dec",11736
"Opah","San Diego","2005-2006","Dec",8742
"Opah","San Diego","2005-2006","Dec",0
"Opah","San Diego","2006-2007","Dec",10618
"Opah","San Diego","2007-2008","Dec",11092
"Opah","San Diego","2008-2009","Dec",35232
"Opah","San Diego","2009-2010","Dec",19698
"Opah","San Diego","2010-2011","Dec",10344
"Opah","San Diego","2011-2012","Dec",10867
"Opah","San Diego","2012-2013","Dec",2405
"Opah","San Diego","2013-2014","Dec",6027
"Opah","San Diego","2014-2015","Dec",27922
"Opah","San Diego","2014-2015","Dec",12703
"Opah","San Diego","2015-2016","Dec",1551
"Opah","San Diego","2015-2016","Dec",29254
"Opah","San Diego","2016-2017","Dec",2440
"Opah","San Diego","2016-2017","Dec",31152
"Opah","San Diego","2017-2018","Dec",4145
"Opah","San Diego","2017-2018","Dec",40884
"Opah","San Diego","2017-2018","Dec",0
"Opah","San Diego","2018-2019","Dec",5832
"Opah","San Diego","2018-2019","Dec",45246
"Herring Roe","Bodega Bay","2000-2001","Dec",238028
"Herring Roe","Bodega Bay","2001-2002","Dec",0
"Herring Roe","Bodega Bay","2002-2003","Dec",85360
"Herring Roe","Bodega Bay","2003-2004","Dec",108751
"Herring Roe","Bodega Bay","2004-2005","Dec",59294
"Herring Roe","Bodega Bay","2005-2006","Dec",0
"Herring Roe","Bodega Bay","2006-2007","Dec",2436
"Herring Roe","Bodega Bay","2009-2010","Dec",708
"Herring Roe","Bodega Bay","2010-2011","Dec",0
"Herring Roe","Bodega Bay","2012-2013","Dec",0
"Herring Roe","Bodega Bay","2013-2014","Dec",0
"Herring Roe","Eureka","2000-2001","Dec",0
"Herring Roe","Eureka","2001-2002","Dec",0
"Herring Roe","Eureka","2002-2003","Dec",0
"Herring Roe","Eureka","2003-2004","Dec",0
"Herring Roe","Eureka","2004-2005","Dec",0
"Herring Roe","Eureka","2005-2006","Dec",0
"Herring Roe","Los Angeles","2001-2002","Dec",0
"Herring Roe","Monterey","2000-2001","Dec",475
"Herring Roe","Monterey","2004-2005","Dec",0
"Herring Roe","San Francisco","2000-2001","Dec",992319
"Herring Roe","San Francisco","2001-2002","Dec",204687
"Herring Roe","San Francisco","2002-2003","Dec",362922
"Herring Roe","San Francisco","2003-2004","Dec",14214
"Herring Roe","San Francisco","2004-2005","Dec",0
"Herring Roe","San Francisco","2005-2006","Dec",0
"Herring Roe","San Francisco","2006-2007","Dec",8244
"Herring Roe","San Francisco","2007-2008","Dec",0
"Herring Roe","San Francisco","2008-2009","Dec",150
"Herring Roe","San Francisco","2009-2010","Dec",0
"Herring Roe","San Francisco","2011-2012","Dec",0
"Herring Roe","San Francisco","2012-2013","Dec",2149
"Herring Roe","San Francisco","2013-2014","Dec",0
"Herring Roe","San Francisco","2014-2015","Dec",0
"Herring Roe","San Francisco","2015-2016","Dec",0
"Herring Roe","San Francisco","2016-2017","Dec",0
"Herring Roe","San Francisco","2017-2018","Dec",0
"Herring Roe","San Francisco","2018-2019","Dec",0
"Red Sea Urchin","Bodega Bay","2000-2001","Dec",74892
"Red Sea Urchin","Bodega Bay","2001-2002","Dec",20195
"Red Sea Urchin","Bodega Bay","2002-2003","Dec",14574
"Red Sea Urchin","Bodega Bay","2003-2004","Dec",2910
"Red Sea Urchin","Bodega Bay","2004-2005","Dec",0
"Red Sea Urchin","Bodega Bay","2005-2006","Dec",0
"Red Sea Urchin","Bodega Bay","2007-2008","Dec",0
"Red Sea Urchin","Bodega Bay","2008-2009","Dec",0
"Red Sea Urchin","Bodega Bay","2009-2010","Dec",45157
"Red Sea Urchin","Bodega Bay","2010-2011","Dec",11686
"Red Sea Urchin","Bodega Bay","2011-2012","Dec",10358
"Red Sea Urchin","Bodega Bay","2012-2013","Dec",0
"Red Sea Urchin","Bodega Bay","2014-2015","Dec",4656
"Red Sea Urchin","Bodega Bay","2015-2016","Dec",0
"Red Sea Urchin","Bodega Bay","2016-2017","Dec",0
"Red Sea Urchin","Bodega Bay","2017-2018","Dec",1050
"Red Sea Urchin","Bodega Bay","2018-2019","Dec",0
"Red Sea Urchin","Eureka","2000-2001","Dec",0
"Red Sea Urchin","Eureka","2001-2002","Dec",0
"Red Sea Urchin","Eureka","2002-2003","Dec",1620
"Red Sea Urchin","Eureka","2004-2005","Dec",0
"Red Sea Urchin","Eureka","2007-2008","Dec",0
"Red Sea Urchin","Eureka","2012-2013","Dec",0
"Red Sea Urchin","Eureka","2014-2015","Dec",186
"Red Sea Urchin","Eureka","2015-2016","Dec",0
"Red Sea Urchin","Fort Bragg","2000-2001","Dec",475003
"Red Sea Urchin","Fort Bragg","2001-2002","Dec",147760
"Red Sea Urchin","Fort Bragg","2002-2003","Dec",153276
"Red Sea Urchin","Fort Bragg","2003-2004","Dec",92630
"Red Sea Urchin","Fort Bragg","2004-2005","Dec",106827
"Red Sea Urchin","Fort Bragg","2005-2006","Dec",83604
"Red Sea Urchin","Fort Bragg","2006-2007","Dec",107778
"Red Sea Urchin","Fort Bragg","2007-2008","Dec",128588
"Red Sea Urchin","Fort Bragg","2008-2009","Dec",320775
"Red Sea Urchin","Fort Bragg","2009-2010","Dec",404329
"Red Sea Urchin","Fort Bragg","2010-2011","Dec",420590
"Red Sea Urchin","Fort Bragg","2011-2012","Dec",399611
"Red Sea Urchin","Fort Bragg","2012-2013","Dec",171668
"Red Sea Urchin","Fort Bragg","2013-2014","Dec",411032
"Red Sea Urchin","Fort Bragg","2014-2015","Dec",171832
"Red Sea Urchin","Fort Bragg","2015-2016","Dec",7418
"Red Sea Urchin","Fort Bragg","2016-2017","Dec",50335
"Red Sea Urchin","Fort Bragg","2017-2018","Dec",47867
"Red Sea Urchin","Fort Bragg","2018-2019","Dec",7655
"Red Sea Urchin","Los Angeles","2000-2001","Dec",826199
"Red Sea Urchin","Los Angeles","2001-2002","Dec",404442
"Red Sea Urchin","Los Angeles","2002-2003","Dec",125706
"Red Sea Urchin","Los Angeles","2003-2004","Dec",124591
"Red Sea Urchin","Los Angeles","2004-2005","Dec",104734
"Red Sea Urchin","Los Angeles","2005-2006","Dec",66666
"Red Sea Urchin","Los Angeles","2006-2007","Dec",73696
"Red Sea Urchin","Los Angeles","2007-2008","Dec",73392
"Red Sea Urchin","Los Angeles","2008-2009","Dec",86267
"Red Sea Urchin","Los Angeles","2009-2010","Dec",57279
"Red Sea Urchin","Los Angeles","2010-2011","Dec",85737
"Red Sea Urchin","Los Angeles","2011-2012","Dec",65441
"Red Sea Urchin","Los Angeles","2012-2013","Dec",47444
"Red Sea Urchin","Los Angeles","2013-2014","Dec",115003
"Red Sea Urchin","Los Angeles","2014-2015","Dec",72197
"Red Sea Urchin","Los Angeles","2015-2016","Dec",49153
"Red Sea Urchin","Los Angeles","2016-2017","Dec",40625
"Red Sea Urchin","Los Angeles","2017-2018","Dec",105636
"Red Sea Urchin","Los Angeles","2018-2019","Dec",56159
"Red Sea Urchin","Monterey","2013-2014","Dec",0
"Red Sea Urchin","Monterey","2015-2016","Dec",0
"Red Sea Urchin","Morro Bay","2000-2001","Dec",0
"Red Sea Urchin","Morro Bay","2001-2002","Dec",0
"Red Sea Urchin","Morro Bay","2002-2003","Dec",2951
"Red Sea Urchin","Morro Bay","2003-2004","Dec",13072
"Red Sea Urchin","Morro Bay","2004-2005","Dec",0
"Red Sea Urchin","Morro Bay","2005-2006","Dec",0
"Red Sea Urchin","Morro Bay","2006-2007","Dec",0
"Red Sea Urchin","Morro Bay","2007-2008","Dec",0
"Red Sea Urchin","Morro Bay","2010-2011","Dec",0
"Red Sea Urchin","Morro Bay","2011-2012","Dec",0
"Red Sea Urchin","Morro Bay","2012-2013","Dec",0
"Red Sea Urchin","Morro Bay","2013-2014","Dec",0
"Red Sea Urchin","Morro Bay","2014-2015","Dec",0
"Red Sea Urchin","Morro Bay","2015-2016","Dec",0
"Red Sea Urchin","Morro Bay","2017-2018","Dec",0
"Red Sea Urchin","Morro Bay","2018-2019","Dec",0
"Red Sea Urchin","San Diego","2000-2001","Dec",58375
"Red Sea Urchin","San Diego","2001-2002","Dec",70100
"Red Sea Urchin","San Diego","2002-2003","Dec",64970
"Red Sea Urchin","San Diego","2003-2004","Dec",69455
"Red Sea Urchin","San Diego","2004-2005","Dec",60787
"Red Sea Urchin","San Diego","2005-2006","Dec",55456
"Red Sea Urchin","San Diego","2006-2007","Dec",52469
"Red Sea Urchin","San Diego","2007-2008","Dec",71914
"Red Sea Urchin","San Diego","2008-2009","Dec",52735
"Red Sea Urchin","San Diego","2009-2010","Dec",42748
"Red Sea Urchin","San Diego","2010-2011","Dec",48448
"Red Sea Urchin","San Diego","2011-2012","Dec",63565
"Red Sea Urchin","San Diego","2012-2013","Dec",40398
"Red Sea Urchin","San Diego","2013-2014","Dec",40540
"Red Sea Urchin","San Diego","2014-2015","Dec",29721
"Red Sea Urchin","San Diego","2015-2016","Dec",26893
"Red Sea Urchin","San Diego","2016-2017","Dec",15784
"Red Sea Urchin","San Diego","2017-2018","Dec",4298
"Red Sea Urchin","San Diego","2018-2019","Dec",7039
"Red Sea Urchin","San Francisco","2000-2001","Dec",1584
"Red Sea Urchin","San Francisco","2001-2002","Dec",0
"Red Sea Urchin","San Francisco","2002-2003","Dec",0
"Red Sea Urchin","San Francisco","2003-2004","Dec",15302
"Red Sea Urchin","San Francisco","2004-2005","Dec",0
"Red Sea Urchin","San Francisco","2005-2006","Dec",0
"Red Sea Urchin","San Francisco","2006-2007","Dec",0
"Red Sea Urchin","San Francisco","2011-2012","Dec",0
"Red Sea Urchin","San Francisco","2014-2015","Dec",1275
"Red Sea Urchin","San Francisco","2015-2016","Dec",336
"Red Sea Urchin","San Francisco","2016-2017","Dec",1342
"Red Sea Urchin","San Francisco","2017-2018","Dec",833
"Red Sea Urchin","San Francisco","2018-2019","Dec",160
"Red Sea Urchin","Santa Barbara","2000-2001","Dec",514112
"Red Sea Urchin","Santa Barbara","2001-2002","Dec",391303
"Red Sea Urchin","Santa Barbara","2002-2003","Dec",418309
"Red Sea Urchin","Santa Barbara","2003-2004","Dec",701920
"Red Sea Urchin","Santa Barbara","2004-2005","Dec",783199
"Red Sea Urchin","Santa Barbara","2005-2006","Dec",733634
"Red Sea Urchin","Santa Barbara","2006-2007","Dec",721660
"Red Sea Urchin","Santa Barbara","2007-2008","Dec",656313
"Red Sea Urchin","Santa Barbara","2008-2009","Dec",664126
"Red Sea Urchin","Santa Barbara","2009-2010","Dec",630052
"Red Sea Urchin","Santa Barbara","2010-2011","Dec",662655
"Red Sea Urchin","Santa Barbara","2011-2012","Dec",710950
"Red Sea Urchin","Santa Barbara","2012-2013","Dec",453547
"Red Sea Urchin","Santa Barbara","2013-2014","Dec",739396
"Red Sea Urchin","Santa Barbara","2014-2015","Dec",426138
"Red Sea Urchin","Santa Barbara","2015-2016","Dec",334542
"Red Sea Urchin","Santa Barbara","2016-2017","Dec",580105
"Red Sea Urchin","Santa Barbara","2017-2018","Dec",259786
"Red Sea Urchin","Santa Barbara","2018-2019","Dec",100036
"Hagfish","Bodega Bay","2008-2009","Dec",7584
"Hagfish","Bodega Bay","2009-2010","Dec",0
"Hagfish","Bodega Bay","2010-2011","Dec",0
"Hagfish","Bodega Bay","2012-2013","Dec",0
"Hagfish","Bodega Bay","2013-2014","Dec",6098
"Hagfish","Bodega Bay","2014-2015","Dec",6746
"Hagfish","Bodega Bay","2015-2016","Dec",23448
"Hagfish","Bodega Bay","2016-2017","Dec",2810
"Hagfish","Bodega Bay","2017-2018","Dec",13371
"Hagfish","Bodega Bay","2018-2019","Dec",0
"Hagfish","Eureka","2001-2002","Dec",0
"Hagfish","Eureka","2007-2008","Dec",0
"Hagfish","Eureka","2008-2009","Dec",34336
"Hagfish","Eureka","2009-2010","Dec",3685
"Hagfish","Eureka","2010-2011","Dec",5547
"Hagfish","Eureka","2011-2012","Dec",50633
"Hagfish","Eureka","2012-2013","Dec",29635
"Hagfish","Eureka","2013-2014","Dec",47324
"Hagfish","Eureka","2014-2015","Dec",13897
"Hagfish","Eureka","2015-2016","Dec",19913
"Hagfish","Eureka","2016-2017","Dec",0
"Hagfish","Eureka","2017-2018","Dec",81077
"Hagfish","Eureka","2018-2019","Dec",4571
"Hagfish","Fort Bragg","2001-2002","Dec",0
"Hagfish","Fort Bragg","2011-2012","Dec",0
"Hagfish","Fort Bragg","2016-2017","Dec",1617
